Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
7-Sep-18,2868.26,2871.68,2883.81,2864.12,1794888576,19.69,-20.38,-9.79,-0.050906015
10-Sep-18,2881.39,2877.13,2886.93,2875.94,1587766272,10.99,13.13,9.71,-0.130448862
11-Sep-18,2871.57,2887.89,2892.52,2866.78,1683184896,25.74,-9.82,-5.56,0.05668933
12-Sep-18,2888.29,2888.92,2894.65,2879.2,1864004480,15.45,16.72,0.4,0.097005981
13-Sep-18,2896.85,2904.18,2906.76,2896.39,1850350720,10.37,8.56,7.93,-0.007379012
14-Sep-18,2906.38,2904.98,2908.3,2895.77,1668147712,12.53,9.53,2.2,-0.109224745
17-Sep-18,2903.83,2888.8,2904.65,2886.16,1628186368,18.49,-2.55,-1.15,-0.02454347
18-Sep-18,2890.74,2904.31,2911.17,2890.43,1752864768,20.74,-13.09,1.94,0.071128362
19-Sep-18,2906.6,2907.95,2912.36,2903.82,1779182336,8.54,15.86,2.29,0.014791945
20-Sep-18,2919.73,2930.75,2934.8,2919.73,1966580224,15.07,13.13,11.78,0.09529125
21-Sep-18,2936.76,2929.67,2940.91,2927.11,3653854464,13.8,17.03,6.01,0.461779268
24-Sep-18,2921.83,2919.37,2923.79,2912.63,1957797888,11.16,-14.93,-7.84,-0.866308308
25-Sep-18,2921.75,2915.56,2923.95,2913.7,1874677760,10.25,-0.08,2.38,-0.044338355
26-Sep-18,2916.98,2905.97,2931.15,2903.28,1952080256,27.87,-4.77,1.42,0.039651288
27-Sep-18,2911.65,2914,2927.22,2909.27,1721861888,17.95,-5.33,5.68,-0.133703156
28-Sep-18,2910.03,2913.98,2920.53,2907.5,1988726528,13.03,-1.62,-3.97,0.134188706
1-Oct-18,2926.29,2924.59,2937.06,2917.91,1985393664,19.15,16.26,12.31,-0.001678692
2-Oct-18,2923.8,2923.43,2931.42,2919.37,1875103104,12.05,-2.49,-0.79,-0.058818398
3-Oct-18,2931.69,2925.51,2939.86,2921.36,1893246976,18.5,7.89,8.26,0.009583468
4-Oct-18,2919.35,2901.61,2919.78,2883.92,1990648448,35.86,-12.34,-6.16,0.048929519
5-Oct-18,2902.54,2885.57,2909.64,2869.29,1951588352,40.35,-16.81,0.93,-0.020014516
8-Oct-18,2877.53,2884.43,2889.45,2862.08,1882610688,27.37,-25.01,-8.04,-0.036639367
9-Oct-18,2882.51,2880.34,2894.83,2874.27,2015630336,20.56,4.98,-1.92,0.065994069
10-Oct-18,2873.9,2785.68,2874.02,2784.86,2693724416,89.16,-8.61,-6.44,0.251731052
11-Oct-18,2776.87,2728.37,2795.14,2710.51,3098300672,84.63,-97.03,-8.81,0.13058005
12-Oct-18,2770.54,2767.13,2775.77,2729.44,2508956928,46.33,-6.33,42.17,-0.234895919
15-Oct-18,2763.83,2750.79,2775.99,2749.03,1927019904,26.96,-6.71,-3.3,-0.301988071
16-Oct-18,2767.05,2809.92,2813.46,2766.91,2026583296,46.55,3.22,16.26,0.049128695
17-Oct-18,2811.67,2809.21,2816.94,2781.81,1991673216,35.13,44.62,1.75,-0.017528016
18-Oct-18,2802,2768.78,2806.04,2755.18,2220875264,50.86,-9.67,-7.21,0.103203476
19-Oct-18,2775.66,2767.78,2797.77,2760.27,2281907712,37.5,-26.34,6.88,0.026746239
22-Oct-18,2773.94,2755.88,2778.94,2749.22,2053233536,29.72,-1.72,6.16,-0.111372707
23-Oct-18,2721.03,2740.69,2753.59,2691.43,2633762560,62.16,-52.91,-34.85,0.220418132
24-Oct-18,2737.87,2656.1,2742.59,2651.89,2940589056,90.7,16.84,-2.82,0.104341848
25-Oct-18,2674.88,2705.57,2722.7,2667.84,2727289344,54.86,-62.99,18.78,-0.078209418
26-Oct-18,2667.86,2658.69,2692.38,2628.16,3062145536,64.22,-7.02,-37.71,0.109353454
29-Oct-18,2682.65,2641.25,2706.85,2603.54,2764736256,103.31,14.79,23.96,-0.107572388
30-Oct-18,2640.68,2682.63,2685.43,2635.34,3207738624,50.09,-41.97,-0.57,0.13810426
31-Oct-18,2705.6,2711.74,2736.69,2705.6,3044530176,31.09,64.92,22.97,-0.053607105
1-Nov-18,2717.58,2740.37,2741.67,2708.85,2605371136,32.82,11.98,5.84,-0.16855911
2-Nov-18,2745.45,2723.06,2756.55,2700.44,2679436032,56.11,27.87,5.08,0.027641972
5-Nov-18,2726.37,2738.31,2744.27,2717.94,2068718080,26.33,-19.08,3.31,-0.29521565
6-Nov-18,2738.4,2755.45,2756.82,2737.08,1927377536,19.74,12.03,0.09,-0.073333087
7-Nov-18,2774.13,2813.89,2815.15,2774.13,2237100544,41.02,35.73,18.68,0.138448408
8-Nov-18,2806.38,2806.83,2814.75,2794.99,2079310336,19.76,32.25,-7.51,-0.075885838
9-Nov-18,2794.1,2781.01,2794.1,2764.24,2384315904,29.86,-12.28,-12.73,0.127921626
12-Nov-18,2773.93,2726.22,2775.99,2722,2281940992,53.99,-20.17,-7.08,-0.044863085
13-Nov-18,2730.05,2722.18,2754.6,2714.98,2323193856,39.62,-43.88,3.83,0.017756962
14-Nov-18,2737.9,2701.58,2746.8,2685.75,2504612864,61.05,7.85,15.72,0.072433952
15-Nov-18,2693.52,2730.2,2735.38,2670.75,2563963904,64.63,-44.38,-8.06,0.023148157
16-Nov-18,2718.54,2736.27,2746.75,2712.16,2517208064,34.59,25.02,-11.66,-0.018574484
19-Nov-18,2730.74,2690.73,2733.16,2681.09,2373464064,52.07,12.2,-5.53,-0.060562956
20-Nov-18,2654.6,2641.89,2669.44,2631.52,2753816832,37.92,-76.14,-36.13,0.138118398
21-Nov-18,2657.74,2649.93,2670.73,2649.82,1943396480,20.91,3.14,15.85,-0.41701236
23-Nov-18,2633.36,2632.56,2647.55,2631.09,951652288,16.46,-24.38,-16.57,-1.042128732
26-Nov-18,2649.97,2673.45,2674.35,2649.97,2113390208,24.38,16.61,17.41,0.549703465
27-Nov-18,2663.75,2682.17,2682.53,2655.89,2049665664,26.64,13.78,-9.7,-0.031090214
28-Nov-18,2691.45,2743.79,2744,2684.38,2308330240,59.62,27.7,9.28,0.112057006
29-Nov-18,2736.97,2737.76,2753.75,2722.94,1976804224,30.81,45.52,-6.82,-0.167708067
30-Nov-18,2737.76,2760.17,2760.88,2732.76,2831860736,28.12,0.79,0,0.301941582
3-Dec-18,2790.5,2790.37,2800.18,2773.38,2549100288,26.8,52.74,30.33,-0.110925588
4-Dec-18,2782.43,2700.06,2785.93,2697.18,2813910016,88.75,-8.07,-7.94,0.09410739
