Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
16-Apr-09,854.54,865.3,870.35,847.04,6598669824,23.31,15.1,2.48,0.054188201
17-Apr-09,865.18,869.6,875.63,860.87,7352009728,14.76,10.64,-0.12,0.102467207
20-Apr-09,868.27,832.39,868.27,832.39,6973960192,35.88,3.09,-1.33,-0.054208732
21-Apr-09,831.25,850.08,850.09,826.83,7436489728,23.26,-37.02,-1.14,0.062197294
22-Apr-09,847.26,843.55,861.78,840.57,7327860224,21.21,16.01,-2.82,-0.014824178
23-Apr-09,844.62,851.92,852.87,835.45,6563100160,17.42,-2.64,1.07,-0.11652421
24-Apr-09,853.91,866.23,871.8,853.91,7114440192,17.89,9.29,1.99,0.077495912
27-Apr-09,862.82,857.51,868.83,854.65,5613459968,14.18,8.91,-3.41,-0.267389495
28-Apr-09,854.48,855.16,864.48,847.12,6328000000,17.36,-8.34,-3.03,0.112917198
29-Apr-09,856.85,873.64,882.06,856.85,6101620224,25.21,2.37,1.69,-0.037101584
30-Apr-09,876.59,872.81,888.7,868.51,6862539776,20.19,19.74,2.95,0.110880166
1-May-09,872.74,877.52,880.48,866.1,5312169984,14.38,-3.85,-0.07,-0.291852444
4-May-09,879.21,907.24,907.85,879.21,7038839808,28.64,6.47,1.69,0.245306026
5-May-09,906.1,903.8,907.7,897.34,6882860032,10.36,26.89,-1.14,-0.022662058
6-May-09,903.95,919.53,920.28,903.95,8555039744,16.33,-2.15,0.15,0.195461361
7-May-09,919.58,907.39,929.58,901.36,9120100352,28.22,15.63,0.05,0.061957718
8-May-09,909.03,929.23,930.17,909.03,8163279872,21.14,-10.55,1.64,-0.1172103
11-May-09,922.99,909.24,922.99,908.68,6150600192,14.31,13.96,-6.24,-0.327233053
12-May-09,910.52,908.35,915.57,896.46,6871750656,19.11,-12.47,1.28,0.104944213
13-May-09,905.4,883.92,905.4,882.8,7091820032,22.6,-5.12,-2.95,0.031031438
14-May-09,884.24,893.07,898.36,882.52,6134870016,15.84,-21.16,0.32,-0.155985378
15-May-09,892.76,882.88,896.97,878.94,5439719936,18.03,8.52,-0.31,-0.12779152
18-May-09,886.07,909.71,910,886.07,5702150144,23.93,-6.69,3.19,0.046023027
19-May-09,909.67,908.13,916.39,905.22,6616269824,11.17,23.6,-0.04,0.138162394
20-May-09,908.62,903.47,924.6,901.37,8205060096,23.23,-1.05,0.49,0.193635422
21-May-09,900.42,888.33,900.42,879.61,6019840000,20.81,-8.2,-3.05,-0.363003019
22-May-09,888.68,887,896.65,883.75,5155319808,12.9,-11.74,0.35,-0.167694774
26-May-09,887,910.33,911.76,881.46,5667049984,30.3,-1.68,0,0.090299217
27-May-09,909.95,893.06,913.84,891.87,5698800128,21.97,22.95,-0.38,0.005571373
28-May-09,892.96,906.83,909.45,887.6,5738979840,21.85,-16.99,-0.1,0.007001194
29-May-09,907.02,919.14,920.02,903.56,6050420224,16.46,14.06,0.19,0.051474174
1-Jun-09,923.26,942.87,947.77,923.26,6370440192,24.51,16.24,4.12,0.050235142
2-Jun-09,942.87,944.74,949.38,938.46,5987339776,10.92,19.61,0,-0.06398508
3-Jun-09,942.51,931.76,942.51,923.85,5323769856,18.66,-0.36,-2.23,-0.124642864
4-Jun-09,932.49,942.46,942.47,929.32,5352889856,13.15,-10.02,0.73,0.005440052
5-Jun-09,945.67,940.09,951.69,934.13,5277910016,17.56,13.18,3.21,-0.014206351
8-Jun-09,938.12,939.14,946.33,926.44,4483429888,19.89,-7.55,-1.97,-0.177203647
9-Jun-09,940.35,942.43,946.92,936.15,4439949824,10.77,2.23,1.21,-0.009792918
10-Jun-09,942.73,939.15,949.77,927.97,5379420160,21.8,2.38,0.3,0.174641561
11-Jun-09,939.04,944.89,956.23,939.04,5500839936,17.19,-3.69,-0.11,0.022072952
12-Jun-09,943.44,946.21,946.3,935.66,4528119808,10.64,4.4,-1.45,-0.214817666
15-Jun-09,942.45,923.72,942.45,919.65,4697880064,22.8,-0.99,-3.76,0.036135502
16-Jun-09,925.6,911.97,928,911.6,4951199744,16.4,-16.85,1.88,0.051163292
17-Jun-09,911.89,910.71,918.44,903.78,5523650048,14.66,-13.71,-0.08,0.103636237
18-Jun-09,910.86,918.37,921.93,907.94,4684009984,13.99,-1.03,0.15,-0.179256677
19-Jun-09,919.96,921.23,927.09,915.8,5713390080,11.29,9.1,1.59,0.180169756
22-Jun-09,918.13,893.04,918.13,893.04,4903940096,25.09,-1.83,-3.1,-0.165061148
23-Jun-09,893.46,895.1,898.69,888.86,5071020032,9.83,-24.67,0.42,0.032947994
24-Jun-09,896.31,900.94,910.85,896.31,4636720128,14.54,2.85,1.21,-0.093665326
25-Jun-09,899.45,920.26,921.42,896.27,4911240192,25.15,3.14,-1.49,0.055896281
26-Jun-09,918.84,918.9,922,913.03,6076660224,8.97,19.39,-1.42,0.191786276
29-Jun-09,919.86,927.23,927.99,916.18,4211760128,11.81,1.02,0.96,-0.442784024
30-Jun-09,927.15,919.32,930.01,912.86,4627570176,17.15,7.29,-0.08,0.089854942
1-Jul-09,920.82,923.33,931.92,920.82,3919399936,11.1,-6.33,1.5,-0.180683332
2-Jul-09,921.24,896.42,921.24,896.42,3931000064,24.82,0.42,-2.09,0.002950936
